Total epochs processed: 150

{'epoch': '136', 'checkpoint_loss': 2.1689, 'average_training_loss': 2.1689, 'validation_loss': 2.5119, 'learning_rate': 2e-05}
{'epoch': '137', 'checkpoint_loss': 2.1573, 'average_training_loss': 2.1573, 'validation_loss': 2.5092, 'learning_rate': 1.5e-05}
{'epoch': '138', 'checkpoint_loss': 2.1463, 'average_training_loss': 2.1463, 'validation_loss': 2.5073, 'learning_rate': 1e-05}
{'epoch': '139', 'checkpoint_loss': 2.1368, 'average_training_loss': 2.1368, 'validation_loss': 2.5057, 'learning_rate': 5e-06}
{'epoch': '140', 'checkpoint_loss': 2.128, 'average_training_loss': 2.128, 'validation_loss': 2.5048, 'learning_rate': 1.25e-06}
{'epoch': '141', 'checkpoint_loss': 2.133, 'average_training_loss': 2.133, 'validation_loss': 2.5129, 'learning_rate': 2e-05}
{'epoch': '142', 'checkpoint_loss': 2.1592, 'average_training_loss': 2.1592, 'validation_loss': 2.5202, 'learning_rate': 4e-05}
{'epoch': '143', 'checkpoint_loss': 2.1725, 'average_training_loss': 2.1725, 'validation_loss': 2.5148, 'learning_rate': 3.5e-05}
{'epoch': '144', 'checkpoint_loss': 2.1611, 'average_training_loss': 2.1611, 'validation_loss': 2.5167, 'learning_rate': 3e-05}
{'epoch': '145', 'checkpoint_loss': 2.1491, 'average_training_loss': 2.1491, 'validation_loss': 2.5096, 'learning_rate': 2.5e-05}
{'epoch': '146', 'checkpoint_loss': 2.1364, 'average_training_loss': 2.1364, 'validation_loss': 2.508, 'learning_rate': 2e-05}
{'epoch': '147', 'checkpoint_loss': 2.1257, 'average_training_loss': 2.1257, 'validation_loss': 2.5061, 'learning_rate': 1.5e-05}
{'epoch': '148', 'checkpoint_loss': 2.1152, 'average_training_loss': 2.1152, 'validation_loss': 2.502, 'learning_rate': 1e-05}
{'epoch': '149', 'checkpoint_loss': 2.1046, 'average_training_loss': 2.1046, 'validation_loss': 2.5006, 'learning_rate': 5e-06}
{'epoch': '150', 'checkpoint_loss': 2.0957, 'average_training_loss': 2.0957, 'validation_loss': 2.5003, 'learning_rate': 1.25e-06}
